                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 2.3468,                  2.567,                 2.5265,                 1.7591,                0.42927,                0.14035,                0.15063,                0.07042,                 0.3471,                0.19298,                0.14557,                0.05781,                 2.4687,                 2.6296,                 2.9769,                 2.3919,              0.0009506,              0.0009506,              0.0009506
                     56,                 2.2798,                 2.6146,                 2.6358,                 1.7733,                0.55324,                0.14035,                0.17488,                0.08131,                0.42136,                0.15789,                 0.1988,                0.07603,                 2.5895,                 2.9319,                 2.7331,                 2.4095,              0.0009308,              0.0009308,              0.0009308
                     57,                 2.4075,                 2.6926,                 2.7818,                 1.8686,                0.40798,                0.14035,                0.11279,                 0.0641,                0.34778,                0.15789,                0.13889,                0.05516,                 2.5231,                 2.7233,                 2.9621,                 2.3635,               0.000911,               0.000911,               0.000911
                     58,                 2.3635,                 2.7693,                 2.5757,                 1.8113,                0.26004,                0.12281,                0.12764,                0.07538,                0.30144,                0.12281,                0.12973,                 0.0593,                 2.6417,                 3.0574,                 3.0051,                 2.4478,              0.0008912,              0.0008912,              0.0008912
                     59,                 2.2654,                 2.5899,                 2.3468,                 1.7556,                0.27658,                0.17544,                0.12417,                0.04796,                 0.3363,                0.19298,                 0.1396,                0.05464,                 2.8148,                  3.132,                 2.9232,                 2.6237,              0.0008714,              0.0008714,              0.0008714
                     60,                  2.281,                 2.5525,                 2.4433,                 1.7461,                0.35741,                0.12281,                0.14068,                 0.0609,                0.26642,                0.17544,                0.16362,                0.06476,                 2.5934,                 2.8217,                  2.886,                 2.3705,              0.0008516,              0.0008516,              0.0008516
                     61,                 2.2549,                 2.7485,                 2.7845,                 1.8118,                0.35796,                0.14035,                0.13634,                0.07362,                0.45499,                0.19298,                0.17653,                0.07244,                  2.379,                 2.6743,                 2.8202,                 2.3563,              0.0008318,              0.0008318,              0.0008318
                     62,                 2.3383,                 2.5618,                 2.6501,                  1.878,                0.28137,                0.22807,                0.13332,                0.05427,                0.28984,                 0.2807,                0.17067,                0.05998,                 2.5784,                 2.9021,                  2.875,                  2.412,               0.000812,               0.000812,               0.000812
                     63,                  2.323,                 2.6586,                 2.4613,                 1.6838,                0.31522,                0.15789,                0.13278,                0.05643,                0.41565,                0.17544,                0.16519,                 0.0574,                  2.374,                 2.8728,                 2.9861,                  2.307,              0.0007922,              0.0007922,              0.0007922
                     64,                 2.2376,                 2.6428,                 2.3805,                 1.6766,                 0.2519,                0.15789,                0.16188,                0.07458,                 0.2152,                0.15789,                0.16689,                0.06094,                 2.5079,                 2.9849,                 2.8314,                 2.3538,              0.0007724,              0.0007724,              0.0007724
                     65,                 2.2187,                 2.5145,                 2.3595,                 1.6271,                 0.2742,                0.15789,                0.16702,                0.08036,                0.31115,                0.17544,                  0.224,                0.07551,                 2.4493,                 2.7917,                 2.7359,                 2.3389,              0.0007526,              0.0007526,              0.0007526
                     66,                 2.3366,                 2.6068,                  2.444,                 1.7418,                0.41351,                0.14035,                0.15515,                 0.0832,                0.23153,                0.26316,                0.18997,                0.07737,                 2.4772,                 2.7539,                 2.5036,                 2.3145,              0.0007328,              0.0007328,              0.0007328
                     67,                 2.2344,                  2.581,                 2.3961,                  1.673,                0.27597,                0.15789,                0.18672,                0.09948,                 0.2742,                0.19298,                0.19795,                0.08387,                 2.5747,                 2.9133,                 2.8529,                 2.4344,               0.000713,               0.000713,               0.000713
                     68,                 2.3337,                 2.5333,                 2.4331,                  1.764,                0.41937,                0.17544,                0.17835,                0.08794,                0.31244,                0.22807,                0.19107,                0.07886,                 2.4377,                 2.8534,                 2.7194,                 2.3161,              0.0006932,              0.0006932,              0.0006932
                     69,                 2.2398,                 2.6806,                 2.4011,                 1.7767,                0.41203,                0.12281,                0.16289,                0.07714,                0.21834,                0.19298,                0.18686,                0.07354,                 2.4579,                 2.8558,                  2.778,                 2.2933,              0.0006734,              0.0006734,              0.0006734
                     70,                 2.1323,                 2.7912,                 2.3007,                 1.6442,                0.32811,                0.26563,                0.21508,                0.09734,                0.33001,                0.26316,                0.24285,                0.09197,                 2.4641,                 2.9699,                 3.0092,                 2.3408,              0.0006536,              0.0006536,              0.0006536
                     71,                 2.3452,                 2.8599,                 2.3515,                 1.7114,                0.36463,                0.19298,                0.17498,                0.08955,                0.28972,                0.22807,                0.21441,                0.08557,                 2.4143,                 2.7711,                 2.4219,                 2.2744,              0.0006338,              0.0006338,              0.0006338
                     72,                 2.0619,                 2.4878,                 2.2444,                  1.697,                 0.5268,                0.12281,                0.16608,                0.08976,                0.25164,                 0.2807,                0.20436,                 0.0765,                 2.5068,                 2.7471,                 2.9882,                 2.3574,               0.000614,               0.000614,               0.000614
                     73,                 2.1082,                 2.4201,                 2.2984,                 1.6437,                0.63948,                0.14035,                0.19267,                0.10433,                0.24493,                0.29825,                0.20647,                0.08473,                 2.5341,                 2.6244,                 2.6279,                 2.3833,              0.0005942,              0.0005942,              0.0005942
                     74,                 2.2139,                 2.9025,                 2.3457,                 1.6654,                0.34141,                0.17544,                0.18284,                0.10026,                0.37787,                0.21053,                0.21606,                0.09734,                 2.4402,                 2.6871,                 2.8523,                 2.3255,              0.0005744,              0.0005744,              0.0005744
                     75,                 2.1144,                 2.5014,                 2.1736,                   1.71,                0.57131,                0.14035,                0.15557,                 0.0905,                0.49768,                0.14035,                 0.1763,                 0.0766,                 2.5241,                 2.7073,                 2.7751,                 2.3069,              0.0005546,              0.0005546,              0.0005546
                     76,                 2.1912,                 2.6129,                 2.3134,                 1.6481,                 0.3723,                0.14035,                0.16979,                  0.079,                0.39342,                0.15936,                0.20279,                0.08483,                 2.4394,                 2.6556,                 2.8769,                 2.2521,              0.0005348,              0.0005348,              0.0005348
                     77,                  2.216,                 2.6649,                 2.3351,                 1.7891,                0.30762,                 0.2807,                0.20417,                0.10109,                0.27344,                0.33333,                0.24301,                0.09516,                 2.3736,                 2.7351,                 2.3759,                 2.3159,               0.000515,               0.000515,               0.000515
                     78,                    2.1,                  2.525,                  2.369,                 1.6841,                0.33092,                0.26316,                0.22573,                 0.1121,                0.40034,                0.30461,                0.27309,                0.10733,                 2.3887,                  2.572,                 2.3289,                 2.2834,              0.0004952,              0.0004952,              0.0004952
                     79,                 2.2092,                 2.6405,                 2.2382,                 1.6746,                0.33671,                0.21053,                0.20548,                0.09868,                0.47069,                0.22807,                0.23265,                0.09106,                 2.4464,                 2.6728,                 2.3431,                 2.2841,              0.0004754,              0.0004754,              0.0004754
                     80,                 2.2193,                 2.5524,                 2.2364,                 1.7826,                0.29926,                0.17544,                0.19183,                 0.1009,                0.43569,                0.15789,                0.20639,                0.09043,                   2.38,                   2.69,                 2.4154,                   2.22,              0.0004556,              0.0004556,              0.0004556
                     81,                 2.2706,                 2.5024,                 2.2035,                 1.7574,                 0.2946,                0.24561,                0.20241,                0.10652,                0.35589,                 0.2807,                0.24673,                0.10233,                 2.4872,                  2.743,                 2.3422,                 2.3628,              0.0004358,              0.0004358,              0.0004358
                     82,                 2.2285,                 2.6058,                 2.2831,                 1.7543,                0.34713,                0.19298,                0.19706,                0.09833,                0.38178,                0.21053,                0.21989,                0.09256,                 2.4676,                  2.746,                 2.2982,                 2.3413,               0.000416,               0.000416,               0.000416
                     83,                 2.1454,                 2.5202,                 2.2426,                  1.643,                 0.3461,                0.26316,                 0.2305,                0.10347,                0.41532,                0.31579,                0.26151,                0.10854,                 2.4002,                 2.6512,                 2.6405,                 2.2868,              0.0003962,              0.0003962,              0.0003962
                     84,                 2.1356,                 2.5202,                 2.0812,                 1.6427,                0.34404,                0.21053,                0.21289,                0.11046,                0.37679,                0.22807,                0.23696,                0.10576,                  2.311,                 2.5364,                 2.3195,                 2.2441,              0.0003764,              0.0003764,              0.0003764
